"You Aplazo Payment was unsuccessful","You Aplazo Payment was unsuccessful"
"Invalid token","Invalid token"
"Service temporarily unavailable. Please try again later.","Service temporarily unavailable. Please try again later."
"Payment capturing error.","Payment capturing error."
"Payment refunding error.","Payment refunding error."
"Stage","Stage"
"Preprod","Preprod"
"Prod","Prod"
"Aplazo Payment","Aplazo Payment"
"Api token","Api token"
"Merchant_id","Merchant_id"
"Show on product page","Show on product page"
"Show on cart","Show on cart"
"Enable Logs","Enable Logs"
"Mode","Mode"